Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
4180,Rent,2007464,8 years,0,10,16.8,419650,0,,0,debt consolidation,Long Term,99999999,92416,23922,734,0
4181,Rent,577296,< 1 year,0,9,12.5,104676,1,,1,debt consolidation,Short Term,100276,54511,9525,704,0
4182,Rent,990603,5 years,0,10,17,613294,1,61,1,debt consolidation,Short Term,306922,172672,19399,731,0
4183,Rent,1406190,10+ years,0,10,17.3,1919302,0,,0,debt consolidation,Long Term,651288,1437122,37498,679,0
4184,Rent,,5 years,0,9,15.1,250448,1,,1,other,Short Term,112376,16663,20497,,0
4185,Rent,965960,9 years,0,12,14.7,278190,0,8,0,debt consolidation,Short Term,258104,169385,20205,740,1
4186,Home Mortgage,,6 years,0,8,14.4,4023690,0,,0,debt consolidation,Short Term,624184,809666,15705,,0
4187,Rent,675659,3 years,0,6,8.1,176022,0,,0,debt consolidation,Short Term,91278,116907,3153,736,0
4188,Home Mortgage,865868,5 years,0,11,11.5,541574,0,,0,debt consolidation,Short Term,155958,124412,6436,744,0
4189,Home Mortgage,,1 year,0,12,16,407440,1,,1,debt consolidation,Long Term,642048,168549,29930,,1
4190,Home Mortgage,,< 1 year,0,8,21.8,257664,0,19,0,debt consolidation,Short Term,262064,108813,11757,,0
4191,Home Mortgage,3009201,6 years,0,10,20.8,773322,0,118,0,debt consolidation,Short Term,449592,299877,15297,738,0
4192,Home Mortgage,1783321,10+ years,0,12,31.5,673508,0,4,0,debt consolidation,Short Term,430188,391457,24372,738,0
4193,Rent,1271423,< 1 year,0,7,20.7,823152,0,,0,debt consolidation,Long Term,334598,601426,25005,722,1
4194,Home Mortgage,748904,,0,6,23.9,353474,0,,0,debt consolidation,Short Term,173426,157206,9361,747,0
4195,Home Mortgage,2627510,10+ years,0,25,20.5,2448534,0,,0,debt consolidation,Long Term,99999999,957942,41821,726,0
4196,Rent,1211250,10+ years,0,5,27.9,416592,0,57,0,debt consolidation,Short Term,328724,332785,10599,742,0
4197,Rent,607544,4 years,0,9,7.3,301334,0,,0,debt consolidation,Short Term,134002,172026,10936,716,0
4198,Home Mortgage,1908550,< 1 year,0,20,32.5,811646,1,,1,home improvements,Short Term,119328,621775,22744,729,0
4199,Rent,855266,10+ years,0,11,22.4,332266,0,81,0,debt consolidation,Short Term,308088,220647,12686,721,1
4200,Rent,1975050,3 years,0,18,12,959926,0,80,0,debt consolidation,Short Term,283140,270256,28474,751,0
4201,Home Mortgage,,9 years,0,14,24.5,870518,0,,0,debt consolidation,Short Term,219098,381919,16368,,0
4202,Home Mortgage,844664,10+ years,0,9,22.6,230010,2,,2,debt consolidation,Short Term,56518,60990,16330,707,0
4203,Home Mortgage,591261,10+ years,0,12,32,330792,2,58,2,debt consolidation,Short Term,172876,142557,12022,6820,1
4204,Rent,1308929,5 years,0,11,14.8,401038,0,61,0,debt consolidation,Short Term,178310,231344,20288,716,0
4205,Home Mortgage,1591592,2 years,0,30,23,1231824,0,19,0,home improvements,Short Term,216810,230850,41646,705,0
4206,Rent,395333,3 years,0,5,13.3,574794,0,,0,debt consolidation,Short Term,108988,114171,2975,748,0
4207,Rent,741836,2 years,0,8,11.2,150326,0,24,0,debt consolidation,Short Term,206162,97755,3215,725,0
4208,Home Mortgage,1208324,10+ years,0,11,15.1,359480,0,,0,debt consolidation,Long Term,309958,306432,34941,701,0
4209,Own Home,836532,1 year,0,18,8,344344,0,16,0,other,Short Term,154968,168036,11223,718,0
4210,Home Mortgage,1002364,5 years,0,11,18,683232,0,18,0,debt consolidation,Long Term,554290,364648,24976,723,0
4211,Home Mortgage,781964,2 years,0,4,9.6,132484,0,,0,debt consolidation,Long Term,221936,105944,14532,687,0
4212,Home Mortgage,1057293,6 years,0,12,9,222838,0,,0,buy a car,Short Term,251416,138377,13480,720,1
4213,Rent,,< 1 year,0,13,13.9,761596,0,,0,debt consolidation,Short Term,332486,169689,15639,,0
4214,Home Mortgage,749816,< 1 year,0,17,24.7,772024,1,,1,debt consolidation,Long Term,339482,424042,11385,674,0
4215,Rent,1240567,< 1 year,0,4,11.8,97284,0,,0,debt consolidation,Long Term,99999999,78736,19642,709,0
4216,Own Home,1223277,3 years,0,24,20.9,1464452,0,,0,home improvements,Short Term,53526,218804,11825,736,0
4217,Home Mortgage,,10+ years,0,5,18.3,601788,0,26,0,debt consolidation,Long Term,539066,314431,10108,,0
4218,Rent,1112412,1 year,0,9,8,197560,0,,0,debt consolidation,Short Term,188914,114323,12422,731,0
4219,Own Home,971660,1 year,0,8,19.1,301400,0,,0,debt consolidation,Short Term,99999999,249375,15465,733,0
4220,Rent,1852690,10+ years,0,7,16.1,267960,0,14,0,debt consolidation,Short Term,386144,160151,23622,740,1
4221,Home Mortgage,,4 years,0,12,10.6,495242,0,,0,home improvements,Long Term,187506,8550,382,,1
4222,Rent,2393525,9 years,0,14,33.9,463936,0,22,0,buy a car,Short Term,79816,165471,25531,739,0
4223,Rent,918517,10+ years,0,3,19.8,81070,4,78,4,debt consolidation,Short Term,74888,2375,7501,713,0
4224,Rent,707085,1 year,0,10,14.8,451770,0,18,0,debt consolidation,Short Term,263318,232940,12963,738,0
4225,Home Mortgage,1728810,10+ years,0,11,25.5,2010646,0,,0,debt consolidation,Long Term,266904,835240,53881,733,0
4226,Home Mortgage,806531,10+ years,0,11,19.4,522566,0,34,0,debt consolidation,Short Term,177892,190456,7595,718,1
4227,Rent,474392,6 years,0,8,13.7,127446,0,,0,debt consolidation,Short Term,164230,106894,4190,645,0
4228,Own Home,1463342,10+ years,0,7,9.8,236302,0,,0,debt consolidation,Short Term,542322,102866,23901,650,0
4229,Home Mortgage,,2 years,1,18,23.2,322674,1,52,0,debt consolidation,Short Term,110528,78299,19797,,1
4230,Home Mortgage,1545688,,0,13,34.8,1090012,0,41,0,debt consolidation,Short Term,185526,192052,39157,743,0
4231,Own Home,1805950,10+ years,0,23,29.1,1233760,0,,0,debt consolidation,Long Term,435644,344166,27541,745,1
4232,Home Mortgage,678946,10+ years,0,8,14.5,301070,1,72,1,debt consolidation,Short Term,162140,84246,10863,714,0
4233,Rent,2268828,3 years,0,9,6,799502,0,,0,other,Short Term,214544,102201,16165,742,0
4234,Rent,1684179,10+ years,0,9,15,89936,1,,1,buy house,Short Term,60676,20121,22175,682,0
4235,Home Mortgage,,10+ years,0,9,15,298034,1,14,1,debt consolidation,Short Term,230164,93689,15293,,1
4236,Home Mortgage,,10+ years,0,6,20.7,116402,0,15,0,other,Short Term,44792,91694,9670,,0
4237,Home Mortgage,1904560,3 years,0,11,11.9,780956,0,,0,major purchase,Long Term,771848,127471,7809,646,0
4238,Home Mortgage,,7 years,0,15,31.6,680460,1,57,1,debt consolidation,Long Term,322982,88730,25720,,0
4239,Home Mortgage,,,0,9,19.2,504724,0,20,0,medical bills,Short Term,438900,377036,23037,,0
4240,Rent,164597,7 years,0,17,14.1,2086216,0,20,0,debt consolidation,Short Term,100892,129732,582,746,0
4241,Rent,681302,8 years,0,9,16,191532,0,,0,debt consolidation,Short Term,140866,104367,17657,744,0
4242,Rent,1233898,10+ years,1,6,21.9,182490,1,20,0,other,Short Term,99999999,87628,4391,727,0
4243,Own Home,,3 years,0,10,15,262526,0,,0,debt consolidation,Short Term,215072,185231,10039,,0
4244,Home Mortgage,953325,3 years,0,14,15,480502,1,59,1,debt consolidation,Short Term,220770,150233,15253,742,1
4245,Rent,385320,3 years,0,11,8.3,76010,0,48,0,take a trip,Short Term,22308,13053,4592,669,0
4246,Rent,366662,< 1 year,0,6,10.2,138578,0,,0,debt consolidation,Short Term,80454,86640,9533,706,0
4247,Rent,922070,4 years,0,21,14,132858,0,,0,debt consolidation,Long Term,313764,96273,8990,669,0
4248,Home Mortgage,1481943,10+ years,0,9,21.2,269368,0,47,0,debt consolidation,Short Term,347534,209855,29515,688,0
4249,Home Mortgage,1348582,4 years,0,12,11.4,248556,0,16,0,home improvements,Short Term,211288,167865,11115,736,0
4250,Home Mortgage,,10+ years,0,16,15,693880,0,5,0,other,Short Term,238854,242706,19724,,1
4251,Own Home,424897,,0,8,22.3,989274,0,,0,debt consolidation,Short Term,235928,331493,8427,743,0
4252,Home Mortgage,1456711,10+ years,0,8,14.3,414238,0,,0,debt consolidation,Long Term,350482,271529,13960,738,0
4253,Home Mortgage,838413,2 years,0,9,15.2,310794,0,76,0,debt consolidation,Short Term,340846,77311,7895,739,0
4254,Home Mortgage,3150998,7 years,0,31,16.3,1114256,0,,0,debt consolidation,Long Term,530684,792946,61182,733,1
4255,Home Mortgage,3818240,10+ years,0,13,24.5,1992298,0,43,0,debt consolidation,Short Term,368610,1675876,32773,746,0
4256,Rent,,4 years,0,4,12.5,0,0,41,0,other,Short Term,88946,19,21,,1
4257,Rent,928587,4 years,0,11,18.6,193028,0,67,0,debt consolidation,Short Term,184316,117363,18107,717,0
4258,Home Mortgage,1292988,2 years,0,9,18.5,833800,0,26,0,debt consolidation,Short Term,223454,604884,13576,737,1
4259,Home Mortgage,1148436,2 years,0,15,18.3,350438,1,13,1,debt consolidation,Short Term,315810,135280,28424,682,1
4260,Rent,,2 years,0,11,19.8,288728,0,,0,other,Short Term,156508,136401,5597,,0
4261,Rent,1845071,6 years,0,8,10.4,699380,0,46,0,debt consolidation,Long Term,787094,175769,10532,714,0
4262,Home Mortgage,1728126,7 years,0,17,37.1,1950674,0,9,0,debt consolidation,Short Term,222332,224067,23186,748,0
4263,Home Mortgage,1939748,1 year,0,14,32.5,484858,0,,0,debt consolidation,Short Term,352308,219412,30357,735,0
4264,Home Mortgage,,10+ years,0,9,17.7,837760,0,11,0,debt consolidation,Short Term,620554,545528,42197,,0
4265,Own Home,1508049,10+ years,0,10,13.7,238436,0,,0,debt consolidation,Short Term,184008,163704,13698,6570,1
4266,Rent,,,0,5,17.3,514360,0,,0,debt consolidation,Short Term,393360,431775,11007,,1
4267,Home Mortgage,1120050,8 years,0,7,19.7,382096,1,,1,debt consolidation,Short Term,259380,119453,9315,739,0
4268,Home Mortgage,1262417,9 years,0,10,16,781088,0,,0,debt consolidation,Short Term,449768,321100,13571,745,0
4269,Home Mortgage,1158088,10+ years,0,12,18.1,300520,0,5,0,debt consolidation,Long Term,346060,182191,20074,725,0
4270,Rent,774820,< 1 year,0,11,12.7,311652,0,,0,debt consolidation,Short Term,134574,187872,4378,7300,1
4271,Home Mortgage,5798040,< 1 year,2,7,18.5,622204,2,47,0,debt consolidation,Long Term,716100,438482,10002,7220,1
4272,Home Mortgage,1793676,3 years,0,8,20.5,486574,0,63,0,other,Short Term,223322,148333,18983,739,0
4273,Rent,,4 years,0,7,6.1,154396,0,13,0,debt consolidation,Short Term,250360,85747,7952,,1
4274,Rent,2257903,6 years,0,7,14.5,0,0,41,0,other,Short Term,178772,0,52496,722,0
4275,Rent,502740,10+ years,0,6,20.4,163460,0,,0,debt consolidation,Short Term,203742,105887,6661,707,0
4276,Own Home,3034528,10+ years,0,7,16,498762,0,,0,business loan,Long Term,768614,179626,2883,707,1
4277,Rent,,< 1 year,0,9,39.7,581680,0,,0,debt consolidation,Short Term,412302,341620,14315,,0
4278,Rent,1046463,6 years,0,16,13,652146,0,,0,debt consolidation,Short Term,308440,229235,30522,740,1
4279,Rent,1409325,10+ years,0,14,24.7,1085106,0,,0,debt consolidation,Short Term,99999999,763781,33119,714,0
4280,Home Mortgage,1123812,1 year,0,8,18.1,815210,0,,0,debt consolidation,Short Term,216876,253460,7848,730,0
4281,Home Mortgage,775124,10+ years,0,12,17.3,861212,0,23,0,debt consolidation,Long Term,401082,293797,8785,699,0
4282,Rent,855855,< 1 year,0,14,21,350042,0,,0,debt consolidation,Long Term,422818,262713,19043,645,0
4283,Home Mortgage,5165264,10+ years,0,13,37.6,380798,0,16,0,medical bills,Short Term,99999999,217379,61983,703,0
4284,Home Mortgage,,10+ years,0,15,21.1,709830,0,,0,debt consolidation,Long Term,778624,553584,43501,,0
4285,Own Home,,5 years,0,5,16.8,82830,0,68,0,debt consolidation,Short Term,313522,62738,15781,,1
4286,Rent,962350,9 years,0,6,17,135894,0,37,0,debt consolidation,Short Term,99999999,103056,8581,716,0
4287,Rent,,4 years,0,15,8,518188,0,,0,debt consolidation,Short Term,359172,289997,26767,,0
4288,Home Mortgage,1121836,6 years,0,10,19,1276770,0,,0,buy a car,Short Term,99999999,6612,4740,748,0
4289,Home Mortgage,1711368,10+ years,0,13,16.1,1119976,0,,0,debt consolidation,Long Term,770616,750595,42784,6840,1
4290,Rent,910081,< 1 year,0,9,15.6,629662,0,,0,debt consolidation,Long Term,418770,384997,16078,694,0
4291,Home Mortgage,1755448,3 years,0,9,18.5,493878,0,73,0,debt consolidation,Short Term,357390,284924,14468,735,0
4292,Own Home,285779,9 years,0,9,19.3,251592,1,3,1,debt consolidation,Short Term,137324,96045,3072,727,0
4293,Home Mortgage,1235247,9 years,0,22,19.3,645238,0,,0,debt consolidation,Short Term,423038,361095,30778,704,0
4294,Home Mortgage,1124363,10+ years,0,13,29.3,632324,0,60,0,debt consolidation,Short Term,202026,169841,18552,739,1
4295,Home Mortgage,,9 years,0,9,14.5,0,0,2,0,business loan,Short Term,260810,0,53768,,0
4296,Rent,,2 years,0,7,10.6,217096,0,,0,debt consolidation,Short Term,171996,135736,4365,,0
4297,Rent,769120,1 year,0,9,32,104610,0,45,0,debt consolidation,Short Term,155848,67317,7627,7120,1
4298,Home Mortgage,1826679,10+ years,0,16,15.1,1727264,0,,0,debt consolidation,Short Term,575058,729448,34555,742,0
4299,Rent,675374,2 years,0,8,14.7,218680,0,,0,debt consolidation,Short Term,129580,50426,2415,736,1
4300,Home Mortgage,,4 years,0,5,19.7,793430,0,19,0,buy a car,Long Term,347006,170620,3602,,0
4301,Home Mortgage,,,0,19,51.9,1602524,0,17,0,home improvements,Short Term,108152,384750,28280,,0
4302,Home Mortgage,1157898,10+ years,0,12,22.6,427020,0,11,0,debt consolidation,Long Term,99999999,267387,11579,707,0
4303,Home Mortgage,,6 years,0,4,17.3,450428,0,17,0,home improvements,Short Term,218768,348555,20274,,0
4304,Home Mortgage,1220123,5 years,0,13,25.1,1105852,0,,0,other,Long Term,52162,298927,16502,748,0
4305,Home Mortgage,1030446,10+ years,0,10,26.9,734426,1,,1,debt consolidation,Short Term,99999999,570855,12623,726,0
4306,Rent,930164,9 years,0,9,26.3,584540,0,48,0,debt consolidation,Long Term,549516,460902,18681,672,1
4307,Home Mortgage,1593207,10+ years,0,9,18.1,1054790,0,,0,debt consolidation,Short Term,449944,174895,14870,750,0
4308,Home Mortgage,746168,10+ years,0,11,16.6,565378,0,,0,debt consolidation,Short Term,207350,206530,10322,747,0
4309,Rent,1842829,9 years,0,16,17.7,1961300,0,,0,debt consolidation,Short Term,99999999,1170457,50831,732,0
4310,Home Mortgage,451117,2 years,0,9,14.8,226226,0,26,0,debt consolidation,Short Term,76186,99636,3741,705,1
4311,Home Mortgage,661618,4 years,0,4,6.8,148346,0,,0,other,Short Term,43780,9234,755,728,0
4312,Home Mortgage,1748247,10+ years,0,15,16,863104,0,27,0,debt consolidation,Short Term,678326,308598,32197,6560,1
4313,Rent,1224398,5 years,0,9,10.7,425546,0,,0,debt consolidation,Short Term,474188,293284,20203,6930,1
4314,Own Home,,,0,7,35.4,158840,2,63,1,other,Short Term,102080,38950,2042,,1
4315,Home Mortgage,1320044,< 1 year,0,11,10,227128,0,10,0,debt consolidation,Short Term,117436,132601,9669,717,0
4316,Own Home,,10+ years,0,10,21.4,415954,0,,0,debt consolidation,Short Term,219868,131119,10596,,1
4317,Rent,785080,2 years,0,11,17.8,383328,0,,0,debt consolidation,Short Term,99999999,201286,11403,741,0
4318,Own Home,,5 years,0,15,27,1134298,0,,0,debt consolidation,Short Term,217624,88160,21332,,1
4319,Home Mortgage,,4 years,0,14,15.2,1958198,0,,0,debt consolidation,Long Term,246466,368676,7622,,1
4320,Rent,1564080,10+ years,0,14,16.4,552046,0,7,0,debt consolidation,Long Term,397540,355680,23591,720,0
4321,Home Mortgage,,10+ years,0,12,15.2,421058,0,,0,debt consolidation,Long Term,432564,298205,19365,,1
4322,Own Home,,6 years,0,21,21.4,1176230,0,7,0,home improvements,Short Term,579370,390070,23883,,0
4323,Home Mortgage,3103346,< 1 year,0,7,15.3,32670,0,33,0,debt consolidation,Long Term,470404,27531,53274,676,0
4324,Home Mortgage,,10+ years,0,9,17,423192,1,1,0,debt consolidation,Long Term,394504,199918,20410,,1
4325,Own Home,672657,1 year,0,9,19.7,320540,0,,0,debt consolidation,Short Term,99999999,219241,12556,669,0
4326,Rent,683392,3 years,0,7,10,333520,0,,0,debt consolidation,Short Term,149930,126464,9454,751,0
4327,Home Mortgage,1218451,1 year,0,21,10.8,123750,0,72,0,debt consolidation,Short Term,151932,93081,24877,737,0
4328,Rent,1079732,4 years,0,4,15.7,232804,0,46,0,debt consolidation,Short Term,99999999,101745,9898,743,0
4329,Home Mortgage,5204632,10+ years,0,7,18.9,1887710,0,,0,debt consolidation,Short Term,99999999,601578,41073,742,0
4330,Rent,1634494,7 years,0,16,20,1038048,0,,0,debt consolidation,Long Term,550176,563008,34188,720,0
4331,Home Mortgage,933774,2 years,0,6,20.2,1285460,0,,0,home improvements,Short Term,99999999,112119,5641,746,0
4332,Rent,939740,10+ years,0,6,24.4,239404,0,,0,home improvements,Short Term,95216,185877,12295,696,1
4333,Home Mortgage,1944080,10+ years,0,9,21.7,1202454,0,,0,debt consolidation,Short Term,262812,743546,34832,748,0
4334,Rent,772749,< 1 year,0,9,19.6,575124,0,19,,debt consolidation,Short Term,167882,152988,7792,729,0
4335,Home Mortgage,1396082,2 years,0,7,11.8,0,0,,0,debt consolidation,Long Term,387970,0,9377,743,0
4336,Home Mortgage,,7 years,0,19,12.7,650958,0,,0,debt consolidation,Short Term,445984,312588,23688,,1
4337,Home Mortgage,1458060,10+ years,0,8,12.3,290048,0,74,0,debt consolidation,Long Term,297704,88920,1883,711,0
4338,Home Mortgage,,7 years,0,6,8.9,382866,0,,0,debt consolidation,Long Term,270248,116394,8428,,1
4339,Home Mortgage,,7 years,0,9,38.2,215776,0,41,0,debt consolidation,Short Term,326964,142196,17288,,1
4340,Rent,1274786,4 years,0,10,9.1,270996,0,27,0,buy a car,Short Term,165242,105089,8414,721,1
4341,Rent,664544,10+ years,0,8,13.6,308242,0,,0,other,Short Term,87934,207100,12238,738,1
4342,Rent,,4 years,0,5,15.6,116952,1,1,1,debt consolidation,Short Term,181984,78679,13160,,1
4343,Home Mortgage,1845698,1 year,0,16,20.9,500478,1,,1,debt consolidation,Short Term,99999999,111511,29993,746,0
4344,Home Mortgage,1390705,2 years,0,9,7.7,210232,0,,0,debt consolidation,Short Term,201278,108946,11184,736,0
4345,Rent,638723,6 years,0,6,15.9,207702,1,,1,buy a car,Short Term,255882,16853,12561,7280,1
4346,Home Mortgage,976961,,0,7,15.8,307010,0,,0,debt consolidation,Short Term,99999999,69730,15794,751,0
4347,Home Mortgage,,6 years,0,12,13,660638,0,,0,debt consolidation,Long Term,439956,89015,11836,,1
4348,Home Mortgage,,9 years,0,4,15,262856,1,,1,debt consolidation,Short Term,96316,72637,2626,,0
4349,Home Mortgage,672714,< 1 year,0,18,12.5,776930,0,47,0,debt consolidation,Long Term,342408,224105,11660,689,0
4350,Rent,783788,8 years,0,10,14,352176,0,11,0,other,Short Term,231748,238146,18876,643,0
4351,Home Mortgage,1465128,3 years,0,9,15.4,281292,0,,0,debt consolidation,Short Term,429484,201875,11501,741,0
4352,Home Mortgage,4770425,8 years,0,11,14,456170,0,4,0,debt consolidation,Short Term,424226,320682,36851,744,0
4353,Home Mortgage,,10+ years,0,6,25.2,243760,1,62,1,debt consolidation,Short Term,323774,152399,14043,,0
4354,Rent,698155,2 years,0,7,15,627022,0,,0,debt consolidation,Short Term,262174,257222,5585,741,1
4355,Home Mortgage,1331197,5 years,0,13,13.2,270666,0,7,0,other,Short Term,279642,111264,25182,7050,1
4356,Home Mortgage,,10+ years,0,18,27.2,828146,0,,0,debt consolidation,Long Term,521708,446291,22141,,0
4357,Own Home,763838,3 years,0,17,13,360712,0,,0,home improvements,Short Term,99999999,64182,2406,744,0
4358,Home Mortgage,1008368,,0,14,40.3,758450,0,,0,home improvements,Short Term,99999999,336680,24033,741,0
4359,Own Home,612902,2 years,0,29,9.8,562628,0,29,0,debt consolidation,Short Term,172040,98648,11134,731,0
4360,Own Home,670320,4 years,0,16,10.2,423522,0,,0,debt consolidation,Long Term,319330,209589,7485,668,1
4361,Own Home,465310,1 year,0,16,17,503910,0,29,0,debt consolidation,Short Term,60346,233263,8608,702,0
4362,Home Mortgage,1874787,10+ years,1,12,26.8,744700,1,72,0,debt consolidation,Short Term,394702,218025,23591,749,0
4363,Home Mortgage,,1 year,0,7,18.6,376948,0,,0,debt consolidation,Short Term,199386,194674,11077,,0
4364,Home Mortgage,2078657,6 years,0,7,20.2,918060,0,,0,debt consolidation,Short Term,99999999,440838,15122,747,0
4365,Rent,729315,3 years,0,4,13.8,6556,1,,0,other,Short Term,174570,5624,5992,650,1
4366,Home Mortgage,1449073,10+ years,2,11,15.4,824340,2,,0,debt consolidation,Short Term,219472,229957,19925,739,0
4367,Home Mortgage,1576924,10+ years,0,11,16.9,448800,0,7,0,other,Long Term,371382,158536,2484,676,0
4368,Rent,1547512,3 years,0,7,9.9,489874,0,,0,debt consolidation,Short Term,268774,117610,16790,743,0
4369,Rent,1478067,1 year,0,9,20.1,905014,0,42,0,debt consolidation,Short Term,555676,684684,25829,697,0
4370,Own Home,1288675,3 years,0,4,12.6,201784,0,,0,debt consolidation,Short Term,161304,89566,12264,743,0
4371,Rent,1360191,10+ years,0,6,16.4,277068,0,,0,debt consolidation,Short Term,532378,119643,3548,7400,1
4372,Rent,650370,4 years,0,5,7.9,468996,0,,0,debt consolidation,Short Term,107580,132050,5582,748,1
4373,Rent,,6 years,0,4,22.3,199474,1,,1,debt consolidation,Short Term,221914,153159,6001,,0
4374,Rent,898814,,0,7,34.4,1465442,0,,0,debt consolidation,Short Term,99999999,816316,13632,700,0
4375,Home Mortgage,1006677,10+ years,0,12,17.7,165814,0,,0,debt consolidation,Short Term,124410,95950,23405,717,0
4376,Rent,,10+ years,0,4,22.9,110462,0,53,0,debt consolidation,Short Term,196064,91485,11553,,1
4377,Rent,960165,7 years,0,11,13.7,231220,2,,2,debt consolidation,Short Term,191224,37544,12082,708,0
4378,Rent,649344,1 year,0,19,15.6,163262,1,50,1,other,Short Term,138688,100111,11688,686,0
4379,Rent,2137025,1 year,0,16,21.6,532752,0,10,0,buy a car,Short Term,233948,259958,30809,745,0
4380,Rent,770716,< 1 year,0,11,15.8,393184,0,,0,debt consolidation,Short Term,223102,106628,9345,750,0
4381,Rent,,,1,12,24.6,275704,2,,1,debt consolidation,Short Term,107800,92150,16266,,0
4382,Own Home,4190792,2 years,0,9,15.8,0,0,65,0,wedding,Long Term,754842,0,29335,668,0
4383,Rent,,8 years,0,11,19.3,192632,1,,1,debt consolidation,Short Term,179146,101479,12861,,1
4384,Home Mortgage,2802671,8 years,0,30,36.1,1297802,0,21,0,educational expenses,Short Term,99999999,574997,46711,646,0
4385,Rent,578094,3 years,0,12,16.1,461714,0,,0,buy a car,Long Term,145024,116831,13393,738,0
4386,Home Mortgage,1034037,8 years,0,9,31.9,326678,1,48,0,home improvements,Short Term,217690,152646,27057,721,0
4387,Home Mortgage,1165536,10+ years,0,15,23.4,909348,0,48,0,debt consolidation,Short Term,342782,125647,30595,728,0
4388,Rent,2103376,8 years,0,8,17.5,949410,0,53,0,debt consolidation,Short Term,99999999,586264,19456,734,0
4389,Rent,678794,10+ years,0,6,11.3,526240,0,,0,debt consolidation,Long Term,392986,295412,8994,7040,1
4390,Own Home,,3 years,0,10,50,2998908,0,,0,debt consolidation,Short Term,305448,2224786,58788,,0
4391,Rent,,10+ years,0,16,35.8,829708,0,,0,debt consolidation,Short Term,403612,397689,25416,,0
4392,Home Mortgage,,2 years,0,15,21,416394,1,,1,debt consolidation,Short Term,261646,181963,28523,,0
4393,Rent,2753898,10+ years,0,11,20,426690,0,21,0,debt consolidation,Long Term,310618,245062,40620,703,0
4394,Home Mortgage,1390021,8 years,0,9,14,583044,0,34,0,debt consolidation,Short Term,214610,117325,18997,712,0
4395,Home Mortgage,1448940,< 1 year,0,10,20,1250392,0,12,0,debt consolidation,Short Term,268444,387676,19440,733,1
4396,Home Mortgage,1029743,10+ years,0,11,14.7,190806,0,7,0,debt consolidation,Long Term,99999999,124412,25486,714,0
4397,Rent,2080728,3 years,0,13,21.7,430760,0,31,0,debt consolidation,Short Term,178464,312132,27917,701,1
4398,Rent,983820,1 year,0,6,16.5,0,0,,0,other,Short Term,44682,0,5288,748,0
4399,Rent,,2 years,0,13,20.4,890714,0,67,0,debt consolidation,Short Term,718498,436164,30122,,1
4400,Rent,1500088,8 years,0,16,13.5,1186130,0,,0,debt consolidation,Short Term,99999999,154679,22376,747,0
4401,Rent,,10+ years,0,7,25.1,211090,1,,1,debt consolidation,Short Term,251922,108661,7999,,0
4402,Rent,,< 1 year,0,7,14,296868,0,42,0,debt consolidation,Long Term,221496,150765,11637,,1
4403,Rent,,7 years,0,25,11.3,365728,1,61,1,debt consolidation,Short Term,180620,117173,13093,,0
4404,Home Mortgage,1146726,9 years,1,5,17.5,92994,1,60,0,debt consolidation,Short Term,99999999,53390,12232,721,0
4405,Home Mortgage,,6 years,0,3,22.5,0,0,35,0,medical bills,Short Term,86724,0,4999,,0
4406,Rent,1868460,8 years,0,7,9.9,235884,0,,0,debt consolidation,Short Term,680416,143431,20086,719,0
4407,Home Mortgage,1224873,2 years,0,8,11.3,294734,0,,0,home improvements,Short Term,327294,127775,19190,738,0
4408,Rent,2670963,2 years,0,17,20.7,221430,0,28,0,debt consolidation,Short Term,153538,148960,46742,724,0
4409,Rent,517902,2 years,0,3,7.7,44748,0,,0,debt consolidation,Short Term,267960,19836,10013,737,1
4410,Home Mortgage,1207659,10+ years,0,4,23.2,248072,0,,0,debt consolidation,Long Term,430232,30210,11392,702,0
4411,Rent,441769,< 1 year,0,5,12.6,49126,0,14,0,debt consolidation,Short Term,99999999,1824,9535,733,0
4412,Rent,468597,< 1 year,0,6,11.2,319000,0,,0,debt consolidation,Short Term,194238,147668,4373,716,0
4413,Home Mortgage,1410180,< 1 year,0,6,23.6,544104,0,,0,debt consolidation,Short Term,217712,307800,13397,745,0
4414,Own Home,1157499,6 years,0,15,18,568480,1,,1,debt consolidation,Short Term,216172,189506,12250,709,0
4415,Own Home,988589,8 years,0,9,22.7,587532,1,18,0,debt consolidation,Short Term,220132,184699,13428,733,0
4416,Rent,853043,10+ years,3,4,14.1,76868,3,18,0,debt consolidation,Short Term,99999999,30400,1855,722,0
4417,Home Mortgage,1063924,10+ years,0,7,14.5,585574,0,26,0,debt consolidation,Short Term,188144,66747,11260,750,0
4418,Rent,965675,3 years,0,20,13.7,798534,1,58,1,debt consolidation,Long Term,250470,89661,26154,709,1
4419,Home Mortgage,431091,4 years,0,9,8.3,239404,0,,0,major purchase,Short Term,48796,87875,8299,724,0
4420,Rent,349220,10+ years,0,5,15.4,101156,0,,0,small business,Short Term,40436,34770,6926,750,0
4421,Own Home,780596,< 1 year,0,9,10,265364,0,,0,debt consolidation,Short Term,173822,101992,22182,723,0
4422,Home Mortgage,,3 years,0,19,16.6,882200,0,8,0,debt consolidation,Short Term,216546,316958,17492,,0
4423,Rent,1801751,< 1 year,0,8,9.5,239470,0,,0,debt consolidation,Short Term,181170,156560,19219,746,0
